S.N.,Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
336,2020-08-09,7,21460.00,213513.14,10.11,9.90,9.91
337,2020-08-06,13,24268.00,237948.53,9.98,9.71,9.73
338,2020-08-05,12,139521.00,1368748.77,9.94,9.75,9.85
339,2020-08-03,7,25549.00,249313.21,9.85,9.68,9.75
340,2020-08-02,8,9533.00,93732.85,9.87,9.72,9.87
341,2020-07-30,16,56492.00,561925.17,10.00,9.90,9.91
342,2020-07-29,15,61818.00,612275.44,10.00,9.88,9.88
343,2020-07-28,16,24087.00,239710.07,10.05,9.80,10.05
344,2020-07-27,20,52616.00,519568.88,9.93,9.82,9.86
345,2020-07-26,8,20521.00,202014.71,9.85,9.83,9.85
346,2020-07-23,12,31185.00,306130.60,9.90,9.65,9.84
347,2020-07-22,11,19094.00,185543.91,9.95,9.65,9.95
348,2020-07-21,40,132170.00,1289446.80,9.79,9.65,9.78
349,2020-07-20,4,14017.00,135368.21,9.66,9.65,9.66
350,2020-07-16,10,28408.00,271090.82,9.69,9.51,9.60
351,2020-07-15,14,45337.00,431213.42,9.68,9.31,9.50
352,2020-07-14,9,45473.00,429505.58,9.58,9.38,9.40
353,2020-07-13,20,69719.00,647081.05,9.50,9.05,9.38
354,2020-07-12,24,87744.00,802269.76,9.22,9.10,9.10
355,2020-07-09,13,24365.00,221051.27,9.20,9.00,9.20
356,2020-07-08,6,50592.00,443919.04,8.85,8.63,8.85
357,2020-07-07,11,17689.00,151963.74,8.72,8.48,8.72
358,2020-07-06,13,24485.00,205401.56,8.50,8.24,8.50
359,2020-07-05,6,19366.00,166679.30,8.70,8.55,8.55
360,2020-07-02,1,1000.00,8850.00,8.85,8.85,8.85
361,2020-07-01,3,2416.00,21681.60,9.00,8.85,8.85
362,2020-03-19,8,10457.00,91271.85,8.84,8.60,8.84
363,2020-03-18,4,4073.00,35163.86,8.77,8.60,8.77
364,2020-03-17,5,8456.00,75326.89,9.04,8.86,8.86
365,2020-03-16,2,2496.00,21715.20,8.70,8.70,8.70
366,2020-03-15,8,8081.00,71586.10,9.02,8.67,8.83
367,2020-03-12,2,8322.00,77269.77,9.37,9.20,9.20
368,2020-03-11,6,15409.00,145868.13,9.52,9.33,9.50
369,2020-03-05,1,100.00,971.00,9.71,9.71,9.71
370,2020-03-04,3,7573.00,74764.65,9.90,9.85,9.90
371,2020-03-03,5,2880.00,28062.48,10.00,9.63,10.00
372,2020-03-02,3,832.00,7897.40,9.80,9.45,9.45
373,2020-03-01,13,107802.00,1062298.30,10.05,9.61,9.61
374,2020-02-27,17,34006.00,338794.00,10.05,9.85,9.90
375,2020-02-26,18,59930.00,603759.85,10.40,9.77,10.20
376,2020-02-25,15,44428.00,433710.83,9.90,9.65,9.77
377,2020-02-24,4,6035.00,58628.75,9.90,9.71,9.71
378,2020-02-23,15,57262.00,557759.51,9.80,9.60,9.80
379,2020-02-20,10,67493.00,641533.81,9.52,9.31,9.49
380,2020-02-19,6,26010.00,248927.20,9.60,9.50,9.60
381,2020-02-18,9,12012.00,113695.49,9.60,9.26,9.60
382,2020-02-17,10,18890.00,175541.22,9.51,9.24,9.25
383,2020-02-16,4,9310.00,86094.66,9.33,9.15,9.33
384,2020-02-13,7,6325.00,59882.74,9.50,9.32,9.39
385,2020-02-12,8,31391.00,291545.32,9.50,9.25,9.50
386,2020-02-11,8,13813.00,127738.66,9.38,9.02,9.38
387,2020-02-10,4,6657.00,60395.59,9.20,9.03,9.20
388,2020-02-09,4,3412.00,31440.55,9.25,9.20,9.20
389,2020-02-05,6,4963.00,45909.02,9.26,9.25,9.26
390,2020-02-04,1,4161.00,39155.01,9.41,9.41,9.41
391,2020-02-03,2,1599.00,15350.40,9.60,9.60,9.60
392,2020-02-02,4,4528.00,43022.23,9.51,9.50,9.50
393,2020-01-30,2,4383.00,41658.48,9.59,9.50,9.50
394,2020-01-29,2,1577.00,14839.57,9.41,9.41,9.41
395,2020-01-28,6,60464.00,580796.20,9.63,9.55,9.60
396,2020-01-27,2,2280.00,21868.00,9.60,9.50,9.50
397,2020-01-23,2,5687.00,54179.10,9.60,9.50,9.60
398,2020-01-22,6,66195.00,634476.65,9.60,9.50,9.50
399,2020-01-21,6,15654.00,149748.92,9.60,9.38,9.60
400,2020-01-20,2,20000.00,195130.00,9.88,9.75,9.75
401,2020-01-19,7,15634.00,151026.21,9.88,9.32,9.88
402,2020-01-16,2,916.00,8287.24,9.14,8.97,9.14
403,2020-01-14,1,4161.00,37282.56,8.96,8.96,8.96
404,2020-01-13,3,16543.00,149029.92,9.06,9.00,9.06
405,2020-01-12,8,26472.00,241270.55,9.14,9.05,9.14
406,2020-01-09,3,5738.00,50951.97,8.90,8.84,8.89
407,2020-01-08,6,22115.00,197678.07,9.02,8.83,9.02
408,2020-01-07,6,38805.00,346873.89,9.00,8.73,8.85
